Date,Symbol,Company Name,Split Ratio
08/24/2023,BTCT,Btc Digital Ltd.,1 : 20
08/24/2023,AMC,Amc Entertainment Holdings Inc,1 : 10
08/23/2023,TIVC,Tivic Health Systems Inc,1 : 100
08/23/2023,SUNLQ,Sunlight Financial Holdings Inc,1 : 20
08/22/2023,DBGI,Digital Brands Group Inc,1 : 25
08/21/2023,SMX,Smx (security Matters) Public Ltd Co.,1 : 22
08/21/2023,BQ,Boqii Holding Ltd.,1 : 3.33
08/18/2023,VAPO,Vapotherm Inc,1 : 8
08/18/2023,ADTX,Aditxt Inc,1 : 40
08/17/2023,CRVO,Cervomed Inc,1 : 1.5
08/17/2023,HSDT,Helius Medical Technologies Inc,1 : 50
08/17/2023,AKTX,Akari Therapeutics PLC,1 : 20
08/16/2023,WATT,Energous Corp,1 : 20
08/14/2023,MOGO,Mogo Inc,1 : 3
08/14/2023,MTEM,Molecular Templates Inc,1 : 15
08/10/2023,LTRY,Lotterycom Inc,1 : 20
08/07/2023,ADIL,Adial Pharmaceuticals Inc,1 : 25
08/07/2023,BNGO,Bionano Genomics Inc,1 : 10
08/07/2023,MOBQ,Mobiquity Technologies Inc,1 : 15
08/04/2023,OTMO,Otonomo Technologies Ltd.,1 : 15
08/04/2023,DUO,Fangdd Network Group Ltd.,1 : 15
08/04/2023,NCMI,National Cinemedia Inc,1 : 10
08/01/2023,TAOP,Taoping Inc,1 : 10
08/01/2023,BRSH,Bruush Oral Care Inc,1 : 25
08/01/2023,MDVLQ,Medavail Holdings Inc,1 : 50
07/31/2023,THTX,Theratechnologies Inc,1 : 4
07/28/2023,UPC,Universe Pharmaceuticals Inc,1 : 6
07/28/2023,ULY,Urgently Inc,1 : 90.01
07/28/2023,INVO,Invo Bioscience Inc,1 : 20
07/28/2023,KPLT,Katapult Holdings Inc,1 : 25
07/28/2023,OTRK,Ontrak Inc,1 : 6
07/28/2023,BIOL,Biolase Inc,1 : 100
07/27/2023,VIEWQ,View Inc,1 : 59.99
07/26/2023,BNTC,Benitec Biopharma Inc,1 : 17
07/25/2023,ABVC,Abvc Biopharma Inc,1 : 10
07/25/2023,OCX,Oncocyte Corp,1 : 20
07/20/2023,BGLC,Bionexus Gene Lab Corp,1 : 10
